['09:24:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:24:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:24:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:24:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:24:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:24:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:24:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:24:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:24:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:24:24', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:24:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:24:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:24:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:24:34', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:24:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:24:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:24:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:24:44', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:24:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:24:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:24:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:24:54', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:25:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:25:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:25:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:25:04', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:25:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:25:14', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
